version,id,form,line_of_business,shortened_line_of_business,claims_mode,coverage_enhancements
v2.0.101,1,A&E & Construction Managers,Architects & Engineers,A&E,Claims Made and Reported,"Property Damage (full limit), Bodily Injury (full limit), Pollution Liability (full limit), Third Party Discrimination (full Limit), Personal & Advertising Injury, Crisis Management, Media Activities, Defense of Licensing Proceedings, FHA/OSHA/ADA regulatory proceedings, Pre-claim assistance, Subpoena assistance, Supplemental payments"
v2.0.101,2,General Contractors,Architects & Engineers,A&E,Claims Made and Reported,"Property Damage, Bodily Injury, Third Party Discrimination, Personal and Advertising Injury, Contractors Pollution Liability, Protective Indemnity, Rectification Expense, Crisis Management, Emergency Pollution Responses Costs, Media Activities, Defense of Licensing Proceedings, FHA/OSHA/ADA regulatory proceedings, Pre-Claim Assistance, Subpoena Assistance, Supplemental payments"
v2.0.101,3,Creatives (Occurrence),Media,MED,Occurrence,"IP infringement (full limit standard), defamation (full limit standard), invasion of privacy (full limit standard), breach of license (full limit standard), emotional distress (full limit standard), personal and advertising injury (full limit standard), declaratory relief (full limit standard), rectification costs (full limit standard), $1M third party discrimination, $10,000 subpoena assistance"
v2.0.101,4,Creatives (Claims Made and Reported),Media,MED,Claims Made and Reported,"IP infringement (full limit standard), defamation (full limit standard), invasion of privacy (full limit standard), breach of license (full limit standard), emotional distress (full limit standard), personal and advertising injury (full limit standard), declaratory relief (full limit standard), rectification costs (full limit standard), $1M third party discrimination, $10,000 subpoena assistance"
v2.0.101,5,Allied Healthcare (Occurence),Allied Healthcare,AHC,Occurrence,"Bodily Injury, Defense of Licensing Proceedings, Subpoena Assistance, HIPAA Violations sublimit, Supplemental Payments"
v2.0.101,6,AHC (Claims-Made and Reported),Allied Healthcare,AHC,Claims Made and Reported,"Bodily Injury, Personal and Advertising Injury, Defense of Licensing Proceedings, Subpoena assistance, HIPAA violations sublimit, Sexual abuse/misconduct sublimit, Supplemental Payments"
v2.0.101,7,Home Healthcare,Allied Healthcare,AHC,Claims Made and Reported,"Bodily Injury, Property Damage, Personal and Advertising Injury, Defense of Licensing Proceedings, Subpoena assistance, HIPAA violations sublimit, Sexual Abuse/Misconduct sublimit, Supplemental Payments"
v2.0.101,8,Beauty Salon and Day Spa,Allied Healthcare,AHC,Claims Made and Reported,"Bodily Injury, Personal and Advertising Injury, Defense of Licensing Proceedings, Subpoena Assistance, HIPAA Violations sublimit, Sexual Abuse/Misconduct sublimit, Supplemental payments"
v2.0.101,9,Pharmacy,Allied Healthcare,AHC,Claims Made and Reported,"Bodily Injury, Personal and Advertising Injury, Defense of licensing proceedings, Subpoena Assistance, HIPAA violations sublimit, Sexual abuse/misconduct sublimit, Supplemental Payments"
v2.0.101,10,Outpatient Mental Healthcare,Allied Healthcare,AHC,Claims Made and Reported,"Bodily Injury, Personal and Advertising Injury, Billing and Regulatory Action sublimit, HIPAA Violations sublimit, Sexual Abuse/Misconduct sublimit, Subpoena assistance, Supplemental Payments"
v2.0.101,11,Phys/Speech/Occ Therapy,Allied Healthcare,AHC,Claims Made and Reported,"Bodily Injury, Personal and Advertising Injury, Billing and Regulatory Action sublimit, Subpoena Assistance, HIPAA Violations sublimit, Sexual Abuse and/or misconduct sublimit, Supplemental Payments"
v2.0.101,12,Anti-Aging,Allied Healthcare,AHC,Claims Made and Reported,"Bodily Injury, Personal and Advertising Injury, Billing and Regulatory Action sublimit, Subpoena Assistance, HIPAA violations sublimit, Sexual Abuse/Misconduct sublimit, Supplemental Payments"
v2.0.101,13,Medical Imaging and Testing,Allied Healthcare,AHC,Claims Made and Reported,"Bodily Injury, Personal and Advertising Injury, Billing and Regulatory Action sublimit, HIPAA violations sublimit, Medicare Laboratory Test Reporting Penalties sublimit, Sexual Abuse/Misconduct sublimit, Subpoena Assistance, Supplemental payments"
v2.0.101,14,Ambulance and Medical Transportation,Allied Healthcare,AHC,Claims Made and Reported,"Bodily Injury, Personal and Advertising Injury, Defense of Licensing Proceedings, Subpoena Assistance, HIPAA violations sublimit, Sexual Abuse/Misconduct sublimit, Supplemental Payments"
v2.0.101,15,Professional Liability,Miscellaneous E&O,MPL,Claims Made and Reported,"Third Party Discrimination, Personal and Advertising Injury, Defense of Licensing Proceedings, Subpoena Assistance, Supplemental Payments"
v2.0.101,16,Consultants,Miscellaneous E&O,MPL,Claims Made and Reported,"Personal and Advertising Injury, Bodily Injury/Property Damage sublimit, Defense of Licensing Proceedings, Subpoena Assistance, Supplemental Payments"
v2.0.101,17,Trustees,Miscellaneous E&O,MPL,Claims Made and Reported,"Personal and Advertising Injury, Supplemental payments"
v2.0.101,18,Real Estate and Property Manager,Miscellaneous E&O,MPL,Claims Made and Reported,"Personal and Advertising Injury, Bodily Injury/ Property Damage sublimit, Third Party Discrimination, Open House Claim sublimit, Failure to Disclose Pollutants sublimit, Defense of Licensing Proceedings, Subpoena Assistance, Supplemental Payments"
v2.0.101,19,Security Services (Claims Made and Reported),Miscellaneous E&O,MPL,Claims Made and Reported,"Bodily Injury, Property Damage, Third Party Discrimination, Personal and Advertising Injury, Crisis Management sublimit, Defense of Licensing Proceedings, Subpoena Assistance, Supplemental Payments"
v2.0.101,20,Security Services (Occurrence),Miscellaneous E&O,MPL,Occurrence,"Bodily Injury, Property Damage, Third Party Discrimination, Personal and Advertising Injury, Crisis Management sublimit, Defense of Licensing Proceedings, Subpoena Assistance, Supplemental Payments"
v2.0.101,21,Staffing,Miscellaneous E&O,MPL,Claims Made and Reported,"Personal and Advertising Injury, Bodily Injury/ Property Damage sublimit, Crisis Management sublimit, Pollution liability sublimit, Sexual Abuse/Misconduct sublimit, Third Party Discrimination, Defense of licensing proceedings, Subpoena Assistance, Supplemental Payments"
v2.0.101,22,Associations,Miscellaneous E&O,MPL,Claims Made and Reported,"Third Party Discrimination, Personal and Advertising Injury, Antitrust sublimit, Bodily Injury/ Property Damage sublimit, Crisis Management sublimit, Media Activities sublimit, Defense of Licensing Proceedings, Subpoena Assistance, Supplemental Payments"
v2.0.101,23,Analytical Testing Labs,Miscellaneous E&O,MPL,Claims Made and Reported,"Bodily Injury, Property Damage, Third Party Discrimination, Personal and Advertising Discrimination, Crisis management sublimit, Pollution Liability sublimit, Defense of licensing Proceedings, Subpoena assistance,  Supplemental Payments"
